,temperature_2m,dewpoint_temperature_2m,skin_temperature,surface_net_thermal_radiation_sum
2025-10-25,298.0484053293864,289.71623611450195,299.99163754781085,-8080132
2025-10-26,296.6338488260905,289.9954140981038,298.3960138956706,-6877936
2025-10-27,296.02669461568195,287.82011858622235,297.9405047098796,-8254642
2025-10-28,295.86061159769696,288.49967829386395,297.84891510009766,-8541462
2025-10-29,295.711129506429,289.9584147135417,297.50256792704266,-7463950
2025-10-30,295.60963185628253,288.1371714274089,297.1259517669678,-7228712
2025-10-31,296.2367420196533,289.1905638376872,297.50768280029297,-7653562
2025-11-01,296.43656222025555,289.7692337036133,297.5118630727132,-7283692
2025-11-02,296.9935696919759,289.21348762512207,298.3348210652669,-7098528
2025-11-03,297.540672938029,288.089635848999,297.9377733866374,-6251758
2025-11-04,298.73914909362793,288.1343116760254,300.17204157511395,-8466142
2025-11-05,297.46182441711426,291.7862497965495,299.0643507639567,-7041806
2025-11-06,295.7813135782878,288.9178816477458,296.9867928822835,-7131202
2025-11-07,295.42774327596027,285.12654368082684,296.8407338460286,-8072338
2025-11-08,295.1819877624512,286.53986167907715,296.49997266133624,-7907536
2025-11-09,295.78843371073407,288.8105951944987,297.02703221638996,-7055786
2025-11-10,295.82192103068036,289.6368719736735,297.38450622558594,-6566364
2025-11-11,294.2679449717204,286.35900561014813,295.93675168355304,-8109574
2025-11-12,293.79353459676105,286.07582092285156,294.9374313354492,-7868118
2025-11-13,292.5408795674642,287.333464940389,293.46135965983075,-6395736
2025-11-14,292.9543056488037,285.9052219390869,293.53344599405926,-6456974
2025-11-15,293.5404415130615,285.09568150838214,294.21466000874835,-6166364
2025-11-16,292.8051471710205,285.9059836069743,293.563684463501,-6216946
2025-11-17,293.00161107381183,284.350372950236,294.26247723897296,-6992726
2025-11-18,292.85754712422687,285.8997275034587,293.79581006368,-7604804
2025-11-19,294.5855763753255,287.7252737681071,295.67595799763996,-7897674
2025-11-20,293.75504302978516,288.4607760111491,295.0880209604899,-6913006
2025-11-21,294.6018257141113,287.74790954589844,295.83047167460126,-6446624
2025-11-22,296.08032417297363,283.4158000946045,297.0604820251465,-8815938
2025-11-23,295.8068269093831,284.4594434102376,296.830748240153,-8779960
2025-11-24,294.48629824320477,289.2692120869954,295.40353775024414,-5153430
2025-11-25,292.16454315185547,283.0803101857503,293.0587355295817,-6632732
2025-11-26,291.9069658915202,282.4372736612956,293.24626541137695,-7144364
2025-11-27,291.92663256327313,283.14406140645343,292.7529862721761,-8359300
2025-11-28,291.6415608723958,284.46246337890625,292.82180976867676,-7996260
